situation,job,order,emotion,weather,people1,people2,people3
1,1,1,3,,1,0,
1,1,2,2,,1,0,
1,1,3,7,,1,0,
1,1,4,10,,1,0,
1,1,5,10,,1,0,
1,1,6,10,,1,0,
1,1,7,11,,1,0,
1,1,8,11,,1,0,
1,1,9,1,,1,0,
1,1,10,10,,1,0,
1,2,1,2,,1,0,
1,2,2,2,,1,0,
1,2,3,2,,1,0,
1,2,4,3,1,4,0,
1,2,5,3,1,4,0,
1,2,6,4,,4,0,
1,2,7,4,,4,0,
1,2,8,4,,2,4,
1,2,9,4,,2,4,
1,2,10,4,,4,0,
1,2,11,4,,2,4,
1,2,12,2,,2,0,
1,2,13,2,,1,0,
1,2,14,7,,1,0,
1,2,15,10,,1,0,
1,2,16,2,,1,0,
1,2,17,7,1,1,0,
1,2,18,10,1,1,0,
1,2,19,10,1,1,0,
1,2,20,2,1,1,0,
1,2,21,10,1,1,0,
1,2,22,10,1,2,4,
1,2,23,10,,2,0,
1,2,24,10,,1,0,
1,2,25,7,,1,0,
1,2,26,10,,1,0,
1,2,27,10,,1,0,
1,2,28,10,,1,0,
1,2,29,11,,2,0,
1,2,30,11,,1,0,
1,2,31,1,,4,0,
1,2,32,10,,1,0,
1,2,33,10,,1,0,
1,2,34,7,,1,0,
1,2,35,10,,1,0,
1,2,36,11,,1,0,
1,2,37,11,,1,0,
1,2,38,1,,4,0,
1,2,39,10,,1,0,
1,2,40,10,,1,0,
1,2,41,11,,1,0,
1,2,42,11,,1,0,
1,2,43,10,,1,0,
1,3,1,2,,2,0,
1,3,2,3,1,2,0,
1,3,3,2,1,2,0,
1,3,4,2,1,2,0,
1,3,5,2,,2,0,
1,3,6,4,,2,0,
1,3,7,4,,2,0,
1,3,8,2,,2,0,
1,3,9,2,,2,0,
1,4,1,3,,1,0,
1,4,2,2,,1,0,
1,4,3,2,,1,0,
1,4,4,10,,1,0,
1,4,5,11,,1,0,
1,4,6,11,,1,0,
1,4,7,10,,1,0,
1,4,8,10,,1,0,
1,4,9,11,,1,0,
1,4,10,11,,1,0,
1,4,11,1,,1,0,
1,5,1,3,,4,0,
1,5,2,3,,4,0,
1,5,3,3,,4,0,
1,5,4,3,1,4,0,
1,5,5,3,1,4,0,
1,5,6,3,1,2,4,
1,5,7,3,1,2,4,
1,5,8,2,,2,4,
1,5,9,7,,2,4,
1,5,10,10,,4,0,
1,5,11,10,,4,0,
1,5,12,11,,4,0,
1,5,13,7,,4,0,
1,5,14,10,,4,0,
1,5,15,10,,4,0,
1,5,16,10,,4,0,
1,5,17,10,,4,0,
1,5,18,11,,4,0,
1,5,19,10,,4,0,
1,5,20,1,,4,0,
2,6,1,9,,1,0,
2,6,2,2,,1,0,
2,6,3,6,,1,0,
2,6,4,3,1,1,0,
2,6,5,3,1,1,0,
2,6,6,3,1,2,0,
2,6,7,2,1,2,0,
2,6,8,2,,1,,
2,6,9,3,,1,,
2,6,10,3,,1,,
2,6,11,3,,1,,
2,6,12,2,,2,,
2,6,13,3,,1,,
2,6,14,3,,1,,
2,6,15,3,,1,,
2,6,16,2,,1,,
2,6,17,3,,1,,
2,6,18,3,,1,,
2,7,1,3,,2,,
2,7,2,4,1,2,,
2,7,3,9,1,1,,
2,7,4,9,1,1,,
2,7,5,2,,2,,
2,7,6,2,,1,,
2,7,7,8,,1,,
2,7,8,6,,3,,
2,7,9,7,,1,,
2,7,10,7,,1,,
2,7,11,10,,1,,
2,7,12,7,,3,,
2,7,13,7,,3,,
2,7,14,7,,2,,
2,7,15,7,,1,,
2,7,16,8,,1,,
2,7,17,8,,1,,
2,7,18,6,,1,,
2,7,19,11,,1,,
2,7,20,10,,1,,
2,7,21,7,,1,,
2,7,22,7,,1,,
2,7,23,1,,2,,
2,7,24,6,,1,,
2,7,25,11,,1,,
2,7,26,1,,1,,
2,7,27,6,,1,,
2,7,28,11,,1,,
2,7,29,7,,1,,
2,7,30,1,,1,,
2,7,31,11,,1,,
2,7,32,10,,1,,
2,7,33,7,,1,,
2,7,34,7,,1,,
2,7,35,7,,1,,
3,8,1,3,1,1,,
3,8,2,9,,1,,
3,8,3,2,,1,,
3,8,4,6,,1,,
3,8,5,11,,1,,
3,8,6,12,,1,,
3,8,7,2,,1,,
3,9,1,4,,2,,
3,9,2,9,,2,,
3,9,3,9,,2,,
3,9,4,9,,2,3,
3,9,5,9,,2,3,
3,9,6,2,,2,,
3,9,7,2,,2,,
3,9,8,6,1,2,,
3,9,9,9,1,2,,
3,9,10,9,1,2,,
3,9,11,6,,3,,
3,9,12,2,,3,,
3,9,13,7,,3,,
3,9,14,9,,2,,
3,9,15,9,,2,3,
3,9,16,8,,2,3,3
3,9,17,6,,2,,
3,9,18,7,,2,,
3,9,19,11,,2,,
3,9,20,11,,2,,
3,9,21,9,,2,,
3,9,22,9,,2,,
3,9,23,8,,3,3,
3,9,24,6,,2,,
3,9,25,7,,2,3,
3,9,26,11,1,2,,
3,9,27,11,1,2,,
3,9,28,1,1,2,,
3,9,29,7,,3,3,
3,9,30,12,,2,,
3,10,1,4,,2,,
3,10,2,8,,3,,
3,10,3,5,,2,,
3,10,4,10,,1,,
3,10,5,10,1,3,,
3,10,6,10,1,3,,
3,10,7,7,,3,,
3,10,8,7,,3,,
3,11,1,5,,1,,
3,11,2,8,,1,,
3,11,3,6,,1,,
3,11,4,6,,1,,
3,11,5,6,,1,,
3,11,6,6,,1,,
3,12,1,5,,2,3,
3,12,2,8,,2,3,
3,12,3,6,,2,3,
3,12,4,6,,2,,
3,12,5,11,,2,,
3,12,6,10,,2,,
3,12,7,7,,2,,
3,12,8,10,1,2,,
3,12,9,6,1,2,3,
3,12,10,11,1,2,3,
3,12,11,10,,1,,
3,12,12,10,,1,,
3,13,1,4,,2,,
3,13,2,9,,2,,
3,13,3,5,,2,,
3,13,4,6,,2,,
3,13,5,7,,2,,
3,13,6,9,,2,,
3,13,7,9,,2,,
3,13,8,6,,2,,
3,13,9,12,,2,,
3,13,10,12,,2,,
3,13,11,12,,2,,
3,13,12,9,,1,,
3,13,13,2,,1,,
3,13,14,2,,2,,
3,13,15,6,1,2,,
3,13,16,7,1,2,,
3,13,17,12,1,2,,
3,13,18,12,1,2,,
3,13,19,6,,1,,
3,13,20,6,,2,,
3,13,21,12,,2,,
3,13,22,12,,2,,
3,14,1,3,,2,,
3,14,2,3,,2,,
3,14,3,3,,2,,
3,14,4,3,1,2,,
3,14,5,4,1,2,,
3,14,6,9,1,2,,
3,14,7,1,,2,,
3,14,8,1,,2,,
3,14,9,4,,1,,
3,14,10,1,,2,,
3,14,11,1,,2,,
3,14,12,4,,1,,
3,14,13,4,1,2,,
3,14,14,4,1,2,,
3,14,15,4,,2,,